id	type	blob
Chapter8/Theorem8.1.1	theorem	blobs/Chapter8/Theorem8.1.1.md
Chapter8/Definition8.1.2	definition	blobs/Chapter8/Definition8.1.2.md
Chapter8/Theorem8.1.5	theorem	blobs/Chapter8/Theorem8.1.5.md
Chapter8/Definition8.1.6	definition	blobs/Chapter8/Definition8.1.6.md
Chapter8/Example8.1.7	example	blobs/Chapter8/Example8.1.7.md
Chapter8/Definition8.1.8	definition	blobs/Chapter8/Definition8.1.8.md
Chapter8/Definition8.2.1	definition	blobs/Chapter8/Definition8.2.1.md
Chapter8/Definition8.2.3	definition	blobs/Chapter8/Definition8.2.3.md
Chapter8/Definition8.2.4	definition	blobs/Chapter8/Definition8.2.4.md
